title,OEM,OEM Number,Description,Product Availability
Processor Vaccum Control Chassis,AMAT ,9090-00923,No Description,In Stock
Main Computer Master,AMAT ,9090-01195,No Description,In Stock
Vaccum Robot Amplifier Chassis,AMAT ,9090-01128,No Description,In Stock
80 Kev Pre Accel Power Supply,Hitek,9090-00801,No Description,In Stock
Focus and Decel PSU Interface,AMAT ,9240-04056,AMAT 9240-04056 Focus and Decel PSU Interface,In Stock
Main Computer Control,,9090-00808,No Description,In Stock
Pre Aligner 300mm,Berkley Process Control,100-000-871-02,Berkley Process Control 100-000-871-02 Pre Aligner 300mm,In Stock
Cryo Onboard Controller,CTI,8186518G003,No Description,In Stock
Wafer Loader Control Chassis,AMAT ,,AMAT Wafer Loader Control Chassis,In Stock
IHC Ion Source Assembly,AMAT ,,AMAT IHC Ion source assembly,In Stock
Flat Orienter Assy 150mm,AMAT ,,No Description,In Stock
Indexer Hub,AMAT ,,AMAT Indexer Hub,In Stock
Cassette on Tray Brackets,AMAT ,,AMAT Cassette on Tray Brackets,In Stock
Chamber Lid / Viewport,AMAT ,0270-09227-A,AMAT 0270-09227-A Chamber Lid / Viewport,In Stock
Pneumatic Valve,AMAT ,0010-00685,No Description,In Stock
Implanter Wheel - 200mm (Non Populated),AMAT ,,AMAT Implanter Wheel - 200mm (Non Populated),In Stock
Beam Profiler,AMAT ,0010-91751,AMAT 0010-91751 Beam Profiler Assy.,In Stock
IHC Chassis ,AMAT ,9090-00263 ITL,AMAT 9090-00263 ITL IHC Chassis with Power Supplies,In Stock
Source Isolation Gate Valve ,AMAT ,,AMAT/VAT Source Isolation Gate Valve,In Stock
MRS Pre Defining Aperture With Graphite ,AMAT ,,AMAT Pre Defining Aperture With Graphite,In Stock
HD PFS ,AMAT ,0240-91922,AMAT 0240-91922 XR80 HD PFS,In Stock
Process Chamber PFS Feedthrough Kit ,AMAT ,-,AMAT - Process Chamber PFS Feed through Kit,In Stock
Extended Source Housing Chamber ,AMAT ,0040-99208,AMAT 0040-99208 Extended Source Housing Chamber,In Stock
MRS Turbo Clamp/O Ring ,AMAT ,0020-82644,No Description,In Stock
200mm Cassette Lift and Rotate Assy,AMAT ,0010-92190 ITL,AMAT 0010-92190 ITL 200mm Cassette Lift and Rotate Assy,In Stock
PFS Chamber Liners ,AMAT ,"0020-868230020-86824",No Description,In Stock
PFS Diff. Pump Box Front Cover ,AMAT ,,No Description,In Stock
Scan Arm Hard Stop 9500 ,AMAT ,0020-82934,No Description,In Stock
KF/NW 50 Vacuum Line ,AMAT ,-,AMAT - KF/NW 50 Vacuum Line,In Stock
Electrode PA Region AKA Bird Cage ,AMAT ,-,AMAT - Electrode PA Region AKA Bird Cage,In Stock
XR80 Focus Assy ,AMAT ,020-84855,No Description,In Stock
XR80 Source Cooling Tube ,AMAT ,0040-02238,AMAT 0040-02238 XR80 Source Cooling Tube,In Stock
200mm Lift and Rotate Cassette Trays ,AMAT ,0010-92132,AMAT 0010-92132 200mm Lift and Rotate Cassette Trays,In Stock
MRS Source Liners ,AMAT ,,AMAT MRS Source liners,In Stock
Robust Cassette on Tray Sensor ,AMAT ,,Robust Cassette on Tray Sensor ,In Stock
Gate Valve ,AMAT ,11210-1003R,"200mm / 8"" Cryo Gate Valve",In Stock
Door Drive Motor & Linear Actuactor,AMAT ,,Wafer Loader Door Drive Motor & Linear Actuactor,In Stock
"6"" Flat 0x Wafer On Blade Sensor + Wiring ",AMAT ,0020-82873,AMAT 0020-82873 6 inch Flat 0x wafer on blade sensor + wiring,In Stock
Blade Carriage Assy ,AMAT ,0020-89105,No Description,In Stock
Mixed Parts,,,No Description,Not In Stock
